"","date","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield","Date","Open","High","Low","Close","Adj.Close","Volume","Date_prev","pre_close","Rise"
"187","11-Oct-17",50,28,19,10,26,19,17,11,6,11,3,10,0,11,15,0,14,8,10,5,8,10,3,0,1,10,3,0,3,1,8,18,3,6,0,7,9,0,4,9,8,0,1,3,2,0,6,6,1,4,4,0,6,2,7,2,5,3,3,67,3,4,4,9,0,1,20,1,2,3,0,17,1,1,3,4,3,0,3,3,3,0,1,2,1,5,8,6,0,2,1,2,5,3,"2017-10-12",22854.849609,22884.820313,22821.130859,22841.009766,22841.009766,291790000,"11-Oct-17",22872.890625,"False"
"188","11-Sep-16",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"2016-09-12",18028.949219,18358.689453,17994.839844,18325.070313,18325.070313,103260000,"11-Sep-16",18085.449219,"True"
"189","11-Sep-17",16,9,7,4,14,17,6,4,0,11,5,7,0,9,0,17,3,5,0,3,12,2,13,0,2,3,12,0,1,5,6,0,0,14,3,2,1,3,0,5,2,2,1,1,6,14,3,2,7,10,1,4,1,3,5,0,0,4,1,26,2,0,0,0,2,3,13,1,0,0,0,6,4,0,2,3,2,0,3,0,0,0,0,4,3,3,0,3,3,2,0,2,10,3,"2017-09-12",22090.560547,22134.570313,22087.089844,22118.859375,22118.859375,364580000,"11-Sep-17",22057.369141,"True"
"190","12-Apr-16",10,6,1,0,4,13,0,2,4,2,3,1,0,0,1,0,2,0,1,4,1,1,0,4,0,1,6,0,0,0,6,8,0,0,1,0,3,0,0,2,4,3,2,1,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,13,8,7,2,0,1,2,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,2,0,0,2,0,1,0,0,1,0,"2016-04-13",17741.660156,17918.349609,17741.660156,17908.279297,17908.279297,91710000,"12-Apr-16",17721.25,"True"
"191","12-Apr-17",9,16,14,23,11,10,3,4,8,7,10,4,5,3,7,6,9,3,4,3,3,2,5,0,10,7,3,3,0,4,2,25,5,4,3,6,2,0,1,4,4,5,1,0,5,2,2,1,4,5,3,0,0,1,0,0,0,0,4,27,2,1,0,0,1,0,21,3,3,2,6,3,1,3,1,0,2,0,1,3,5,0,4,3,4,1,0,3,2,5,0,0,4,0,"2017-04-13",20561.689453,20612.269531,20453.25,20453.25,20453.25,235810000,"12-Apr-17",20591.859375,"False"
"192","12-Dec-16",6,1,6,11,4,2,1,0,1,6,1,0,4,0,1,0,2,0,1,2,0,0,0,0,0,1,0,4,1,1,0,0,0,0,2,2,2,0,2,4,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,13,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,2,2,"2016-12-13",19852.210938,19953.75,19846.449219,19911.210938,19911.210938,388420000,"12-Dec-16",19796.429688,"True"
"193","12-Dec-17",25,20,16,0,6,27,9,6,2,7,22,8,5,10,15,8,5,21,0,4,0,12,4,5,8,4,8,1,2,4,8,0,1,6,2,17,12,26,9,6,7,2,6,0,5,0,5,0,4,10,2,1,5,3,0,1,0,3,0,47,1,1,0,1,0,1,20,3,0,5,5,2,9,0,6,6,0,0,5,2,7,5,4,1,5,8,0,0,7,2,4,2,10,3,"2017-12-13",24525.189453,24666.019531,24518.300781,24585.429688,24585.429688,325280000,"12-Dec-17",24504.800781,"True"
"194","12-Feb-17",6,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"2017-02-13",20338.539063,20441.480469,20322.949219,20412.160156,20412.160156,314620000,"12-Feb-17",20269.369141,"True"
"195","12-Jan-16",4,8,4,0,1,2,4,3,0,2,0,1,4,0,0,0,5,1,2,4,0,0,5,3,0,3,6,0,3,0,6,2,2,0,1,0,0,0,0,3,0,0,0,1,1,0,0,2,1,0,0,0,4,0,0,4,0,0,0,9,0,7,0,0,2,0,6,1,0,0,0,0,2,1,4,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"2016-01-13",16526.630859,16593.509766,16123.200195,16151.410156,16151.410156,153530000,"12-Jan-16",16516.220703,"False"
"196","12-Jan-17",24,9,9,37,2,7,2,6,3,2,3,3,6,2,5,4,6,2,6,0,2,0,0,6,4,9,3,16,0,0,2,4,6,7,2,2,0,0,2,3,3,4,0,8,0,0,0,2,1,2,2,0,0,4,0,0,0,2,2,40,3,0,0,0,1,3,12,6,4,0,0,0,1,2,2,3,8,0,2,1,1,0,0,1,2,8,0,0,1,1,0,0,5,0,"2017-01-13",19912.539063,19952.029297,19849.380859,19885.730469,19885.730469,263780000,"12-Jan-17",19891,"False"
