,Date,Open,High,Low,Close,Adj Close,Volume,Date_prev,pre_close,new
0,2016-01-06,17154.830078,17154.830078,16817.619141,16906.509766,16906.509766,120250000,2016-01-05,16514.099609,False
1,2016-01-07,16888.359375,16888.359375,16463.630859,16514.099609,16514.099609,176240000,2016-01-06,16346.450195,False
2,2016-01-08,16519.169922,16651.890625,16314.570313,16346.450195,16346.450195,141850000,2016-01-07,16398.570313,True
3,2016-01-11,16358.709961000002,16461.849609,16232.030272999998,16398.570313,16398.570313,127790000,2016-01-10,16516.220703,True
4,2016-01-12,16419.109375,16591.349609,16322.070313,16516.220703,16516.220703,117480000,2016-01-11,16151.410156,False
5,2016-01-13,16526.630859,16593.509766,16123.200195,16151.410156,16151.410156,153530000,2016-01-12,16379.049805,True
6,2016-01-14,16159.009766,16482.050781,16075.120116999999,16379.049805,16379.049805,158830000,2016-01-13,15988.080078,False
7,2016-01-15,16354.330078,16354.330078,15842.110352000002,15988.080078,15988.080078,239210000,2016-01-14,16016.019531,True
8,2016-01-19,16009.450195,16171.959961000002,15900.25,16016.019531,16016.019531,144360000,2016-01-18,15766.740234,False
9,2016-01-20,15989.450195,15989.450195,15450.55957,15766.740234,15766.740234,191870000,2016-01-19,15882.679688,True
10,2016-01-21,15768.870116999999,16038.589844,15704.660156,15882.679688,15882.679688,145140000,2016-01-20,16093.509766,True
11,2016-01-22,15921.099609,16136.790038999998,15921.099609,16093.509766,16093.509766,145850000,2016-01-21,15885.219727000002,False
12,2016-01-25,16086.459961000002,16086.459961000002,15880.150391,15885.219727000002,15885.219727000002,123250000,2016-01-24,16167.230469,True
13,2016-01-26,15893.160156,16185.790038999998,15893.160156,16167.230469,16167.230469,118210000,2016-01-25,15944.459961000002,False
14,2016-01-27,16168.740234,16235.030272999998,15878.299805,15944.459961000002,15944.459961000002,138350000,2016-01-26,16069.639647999998,True
15,2016-01-28,15960.280272999998,16102.139647999998,15863.719727000002,16069.639647999998,16069.639647999998,130120000,2016-01-27,16466.300781,True
16,2016-01-29,16090.259766,16466.300781,16090.259766,16466.300781,16466.300781,217940000,2016-01-28,16449.179688,False
17,2016-02-01,16453.630859,16510.980469,16299.469727000002,16449.179688,16449.179688,114450000,2016-01-31,16153.540038999998,False
18,2016-02-02,16420.210938,16420.210938,16108.44043,16153.540038999998,16153.540038999998,126210000,2016-02-01,16336.660156,True
19,2016-02-03,16186.200195,16381.69043,15960.450195,16336.660156,16336.660156,141870000,2016-02-02,16416.580078,True
20,2016-02-04,16329.669922,16485.839844,16266.160156,16416.580078,16416.580078,131490000,2016-02-03,16204.969727000002,False
21,2016-02-05,16417.949219,16423.630859,16129.80957,16204.969727000002,16204.969727000002,139010000,2016-02-04,16027.049805,False
22,2016-02-08,16147.509766,16147.509766,15803.549805,16027.049805,16027.049805,165880000,2016-02-07,16014.379883000001,False
23,2016-02-09,16005.410156,16136.620116999999,15881.110352000002,16014.379883000001,16014.379883000001,127740000,2016-02-08,15914.740234,False
24,2016-02-10,16035.610352000002,16201.889647999998,15899.910156,15914.740234,15914.740234,122290000,2016-02-09,15660.179688,False
25,2016-02-11,15897.820313,15897.820313,15503.009766,15660.179688,15660.179688,172070000,2016-02-10,15973.839844,True
26,2016-02-12,15691.620116999999,15974.040038999998,15691.620116999999,15973.839844,15973.839844,132550000,2016-02-11,16196.410156,True
