"","date","PRON","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield"
"277"," 7 Sept 2017",55,31,8,9,3,20,34,7,3,8,2,16,2,7,11,11,2,1,1,2,10,8,3,6,3,3,3,3,5,5,11,3,7,0,7,3,1,7,0,1,11,2,0,3,2,0,8,2,3,0,3,0,0,4,5,3,7,3,0,0,60,5,0,1,11,1,0,21,1,0,5,4,3,6,0,0,0,1,0,4,1,5,1,0,5,9,6,9,8,4,0,0,22,0,3
"278"," 8 April 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279"," 8 April 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280"," 8 April 2016",6,2,1,6,0,1,1,0,2,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,0,0,0,0,0,2,0,0,0,2,1,3,0,5,0,0,2,1,5,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,1,1,2,0,0,3,0
"281"," 8 April 2017",0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"282"," 8 Aug 2014",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283"," 8 Aug 2015",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284"," 8 Aug 2016",10,1,2,3,1,2,1,3,1,5,3,1,4,0,0,2,0,0,1,1,2,0,0,0,1,0,2,3,1,0,2,3,1,2,1,0,0,1,2,0,1,1,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,2,6,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,1,0
"285"," 8 Aug 2017",43,0,13,9,4,6,3,1,2,8,5,5,8,9,9,9,3,0,4,5,5,6,0,4,0,0,8,1,4,2,6,1,0,6,5,6,0,8,0,5,6,1,0,4,2,0,6,0,4,1,3,6,4,0,0,0,1,7,0,10,18,2,0,0,0,2,0,11,5,3,0,10,5,1,0,6,0,1,3,1,2,4,0,0,0,0,0,0,0,1,1,1,0,1,5
"286"," 8 Dec 2014",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287"," 8 Dec 2015",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288"," 8 Dec 2016",12,2,9,6,20,0,3,2,1,8,0,0,3,8,2,3,0,2,0,2,4,0,0,0,0,2,0,2,2,1,2,2,0,5,2,0,1,0,0,2,2,4,0,2,9,0,0,0,2,5,0,0,0,2,0,0,0,0,0,2,10,0,0,0,0,1,0,13,2,0,0,3,3,1,0,1,0,2,2,1,0,1,1,0,2,0,2,0,0,0,6,0,4,0,2
